"T","RH","AH","CO","NOx","NO2","O3"
31.4,28.6,1.298,2.9,220,149,1330
33.7,25.5,1.3095,2.5,168,124,1138
35.9,20.8,1.2103,2.3,149,119,963
37.5,18.1,1.1529,2.4,160,130,1015
37.7,17.7,1.1383,2.6,177,143,1008
37.8,17.4,1.1219,2.2,-200,-200,898
36.6,20.6,1.2445,3.5,176,183,1215
32.5,26,1.2502,3.9,202,161,1334
30.8,27.2,1.1832,4.5,255,170,1380
28.8,30.2,1.1761,3.8,210,143,1601
26.7,35.4,1.2233,2.8,157,123,1376
25.3,40.7,1.291,1.7,96,89,1161
24.9,41.2,1.2809,1.2,59,67,878
23.7,45.1,1.3033,1.6,81,81,1031
22.5,49,1.3151,1,40,54,847
22.3,50.6,1.3486,0.9,42,57,908
22,50.5,1.3199,0.5,-200,-200,733
20.8,54.4,1.3229,0.5,31,51,751
20.3,56,1.3204,0.5,54,58,799
20.5,54.8,1.3073,1,88,69,954
21.7,50.6,1.2981,3.5,261,107,1425
23.4,46.1,1.3091,6.4,357,151,2147
25.1,43,1.3488,2.9,265,146,1532
30.1,32.8,1.3795,3.4,247,165,1570
34.7,25.9,1.4069,2.8,189,159,1380
37.2,23.2,1.4478,2.8,168,174,1337
39.5,18.3,1.2917,2.8,183,167,1308
40.6,15.3,1.1485,2.3,157,137,1013
40.3,16.1,1.1896,1.8,113,116,816
40.3,14.2,1.0494,2,140,125,836
39.6,16.7,1.1867,3.5,230,194,1267
37.3,23.4,1.4672,4.9,277,222,1649
33.7,27.7,1.4213,4.6,295,206,1622
30.7,32.2,1.3983,3.4,212,162,1349
28.4,35.7,1.3549,2.7,151,132,1186
26.5,38.6,1.3154,1.9,110,107,1026
25.4,40.1,1.2822,1.5,83,84,817
24.1,43.3,1.2839,1,48,61,662
23.9,45.6,1.3328,0.7,27,42,552
22,52.8,1.3752,1,48,66,775
20.7,56.1,1.3565,0.6,-200,-200,646
20.1,57.3,1.3352,-200,33,50,647
19.5,59.4,1.3328,0.9,75,76,874
20,56.6,1.3095,1.2,101,78,973
21.7,53.9,1.3848,2.9,214,104,1327
23.7,49,1.4152,4.8,290,139,1626
25.9,44.3,1.4544,4.3,311,166,1640
30.1,34.3,1.4414,3.1,234,151,1341
33.5,27.2,1.3859,2.4,157,134,1113
35.4,26.1,1.4806,2.8,165,148,1224
37.9,23.2,1.502,2.5,137,126,1095
39.7,18.7,1.3306,2.6,149,144,1152
40.4,17.2,1.2774,2.3,140,133,1047
40,18.8,1.363,2.4,139,139,982
38.9,18.8,1.29,3.5,221,178,1320
35.8,22.1,1.2792,4.8,318,206,1541
33.1,25.9,1.2923,5.1,363,211,1510
30.9,28.2,1.2388,4.7,341,180,1511
27.5,32.6,1.176,2.4,163,116,1078
26.3,34.3,1.1605,2.5,157,118,1235
25.5,34.1,1.0968,2.7,202,115,1202
24.7,39.3,1.2065,1.5,102,96,1103
24.2,39.5,1.1764,1.1,70,86,1013
24.8,37.8,1.1639,0.6,41,65,765
22.7,43.8,1.1952,0.5,-200,-200,618
22,44.3,1.1553,0.4,36,53,663
19.3,51.4,1.1364,0.6,68,74,813
19.8,50.4,1.1525,1,92,69,894
20.5,48.2,1.1474,4.6,332,131,1495
22.8,42.7,1.1667,4.8,333,134,1658
25.6,35.8,1.1548,4,298,148,1506
30,27.5,1.1509,-200,-200,-200,1168
34.4,21,1.1248,2,146,-200,993
35.9,19.6,1.1422,2,120,111,910
37.2,18.2,1.1389,2,108,110,912
37.3,16.6,1.0435,1.9,109,110,814
37.4,14.9,0.9413,1.9,124,116,1341
36.4,15.1,0.9005,1.9,127,120,847
35.4,14.7,0.8323,2.6,185,142,925
34.2,14.2,0.7502,3.2,230,146,1087
31.1,18.7,0.8302,3.4,265,153,1132
29.1,22,0.8702,3.4,261,158,1197
27.2,22.5,0.7962,2.9,219,140,1229
25.3,24.6,0.7796,2.7,180,127,1171
24.9,27.2,0.8429,1.3,108,97,921
23.5,32.2,0.922,1.3,98,91,1008
23.5,32.7,0.9349,0.9,57,68,849
24.1,32,0.9467,0.6,36,52,668
22.6,34.8,0.9441,0.5,-200,-200,641
20.8,40.2,0.9725,0.5,45,58,707
18.8,46.6,1.0027,0.9,87,78,939
19.8,46,1.0524,0.7,62,61,886
21.3,42.3,1.0625,0.6,65,64,837
21.3,41.8,1.0449,1.3,125,81,1005
24,36.6,1.0772,1.9,157,92,1191
27.2,30.7,1.0884,2.1,171,101,1200
32.3,23.6,1.1271,1.8,119,96,971
31.9,25.8,1.2023,1.8,110,101,907
35.1,21.8,1.2093,1.6,95,91,802
36,20.5,1.1995,1.2,58,68,695
37,20.1,1.2423,1.2,69,76,777
36.4,21,1.2515,1.4,76,84,818
35.2,22.6,1.267,1.3,63,76,681
32.5,27.6,1.3229,1.1,51,61,631
29.1,35.1,1.3919,1.1,46,52,641
26.9,39.7,1.3898,1.1,52,59,683
26.1,42.2,1.4039,1.8,84,89,1013
25.5,43.8,1.4095,2.3,130,113,1151
24.9,45.6,1.4135,2.6,147,112,1134
25.2,45.2,1.4262,2,126,89,945
25.4,45.5,1.457,1,47,53,734
26.2,43.6,1.4599,0.6,24,36,554
24.3,48.2,1.4476,0.6,-200,-200,612
24.4,48.3,1.4499,0.5,25,39,564
23.3,51,1.4346,0.4,21,33,512
21.6,48.1,1.2259,0.4,25,37,410
21.4,47.8,1.2005,0.4,25,36,392
20.5,46.8,1.1152,0.4,30,42,377
20.8,40.7,0.9882,0.5,42,52,389
22.3,35.3,0.9371,0.6,52,60,432
21.7,38.3,0.9842,0.7,62,74,502
24.4,29.6,0.8921,0.7,67,65,469
23.4,34.9,0.991,0.6,47,52,427
23.5,35.2,1.0019,0.5,35,40,406
22.4,39,1.04,0.6,45,49,430
22,41.7,1.0865,0.8,53,56,453
21.7,42.7,1.0949,0.8,57,59,470
20.7,43.4,1.047,1,71,68,480
20.3,42.6,1.0045,1,67,72,472
20.3,44.1,1.0392,1,75,78,521
20.1,45.2,1.0538,0.9,65,71,520
19.8,45.7,1.0424,0.7,45,54,440
19.6,45.3,1.0244,0.8,46,57,446
19.4,45.9,1.0242,0.7,33,45,417
19.7,44.8,1.0172,0.5,19,30,381
19.5,46.3,1.0363,0.3,9,16,350
19,49,1.063,0.3,-200,-200,334
19.1,50.7,1.109,-200,12,18,346
19.1,52.7,1.1545,0.3,21,28,380
20.3,49.3,1.1596,0.7,66,62,563
21.1,46.2,1.1389,1.5,137,92,779
21.5,44.5,1.129,1.8,151,96,842
22.4,43.6,1.1637,1.4,115,87,692
24.8,39.1,1.2039,1.5,118,84,779
23.9,42.1,1.2335,1.2,95,73,633
25.5,38.3,1.2328,1.2,86,72,616
25.4,39.2,1.2534,1.3,85,68,606
25.6,37,1.2006,1,66,62,526
24.5,38.4,1.1669,1.4,74,70,588
23.9,39.9,1.1639,1.6,108,83,674
24.2,39.2,1.1665,2.7,150,92,885
23.5,41.2,1.1759,2.3,157,103,879
22.3,44.9,1.1973,1.5,93,82,703
21.7,46.5,1.1917,1.4,76,74,637
22,44.9,1.1699,1,57,67,561
22.2,44.1,1.1654,1.1,64,74,612
21.8,45.6,1.1763,1.2,59,72,621
21.6,46,1.1742,1.2,68,79,702
21.6,45.8,1.1715,0.7,31,43,559
20.7,48.3,1.168,0.5,21,33,435
21,47.1,1.1546,0.4,-200,-200,441
20.8,48.5,1.18,0.4,24,38,527
20.8,49.4,1.1994,0.5,38,51,720
19.9,51.8,1.1911,1,92,69,937
20.9,49.3,1.2049,4.4,311,116,1482
23.7,39.9,1.1508,4,260,119,1489
25.3,35.8,1.1421,2.4,181,96,1015
28.8,29.1,1.1349,2.1,177,109,1004
30.3,26.9,1.1399,2.7,180,115,1129
32.8,23.3,1.138,2.8,174,118,1068
33.9,21.4,1.1135,2.3,140,118,924
35.3,19.6,1.1036,2,122,112,861
34,20.8,1.0898,2.6,189,140,981
35.3,18.8,1.0572,2.7,169,137,1043
32.6,24.1,1.1688,3.1,172,143,1124
30.8,28.7,1.2507,3.1,154,148,1004
28.7,31.2,1.2099,3.6,192,158,1190
26.8,35.1,1.2201,2.9,160,127,1072
25.3,39.4,1.2524,2.2,110,109,925
23.9,40.9,1.1966,2,97,101,862
23,44.4,1.2354,2.1,124,114,969
22.2,53.9,1.4237,1.9,108,104,932
20.9,59.8,1.4659,1.4,61,81,794
21.3,58.1,1.457,0.8,34,51,599
20.8,58.4,1.4189,0.6,-200,-200,614
20.3,58.9,1.3878,0.6,24,40,625
21.3,54.5,1.3682,0.5,27,34,595
20.6,57.4,1.3753,1,70,61,886
21.3,56.9,1.4226,2.7,176,95,1257
22.9,52.4,1.4442,5,310,142,1561
24.1,46.5,1.3802,3.3,221,128,1191
27.1,38.8,1.3705,2.4,168,115,1061
28.4,34.4,1.314,1.7,109,84,751
30.1,30.9,1.2958,1.7,102,85,733
32.7,25.8,1.2547,2.4,129,110,906
32.4,25.7,1.2271,2.2,117,107,902
33.6,24.4,1.2472,2.2,112,107,836
33,26,1.2877,2.3,122,113,863
33.2,23.7,1.1855,2.6,114,107,824
31.3,25.4,1.1415,2.3,111,106,842
28.3,31.7,1.1968,3.3,158,125,1132
26.5,35,1.1981,3.5,202,139,1175
24.4,40,1.2079,2.5,166,117,1111
23.3,43.4,1.2251,2.5,143,107,1125
22.5,45.3,1.2226,2.4,122,98,1077
21.8,47.8,1.2325,2.5,113,97,1087
20.9,51,1.2446,2.1,109,95,1014
20.8,51.7,1.2572,1,53,68,801
19.3,57.1,1.2661,0.8,-200,-200,802
18.8,58.6,1.2581,-200,32,51,753
20.2,53.8,1.2569,0.5,35,44,696
18.3,60.8,1.2635,1.3,123,77,996
20.2,54.5,1.2777,3.6,254,100,1513
21.9,49.9,1.2957,4.8,300,125,1598
25.2,43,1.3548,3.7,281,154,1690
28,36.6,1.3603,1.9,169,125,1053
27.1,38.3,1.3548,1.7,152,117,931
27.4,37,1.3319,1.9,127,105,865
29.4,32.9,1.3244,1.8,118,103,818
31.3,28.7,1.2885,1.7,120,106,802
31.5,28.7,1.3058,1.8,125,107,778
30.9,30.3,1.3306,1.7,117,102,767
31.4,30.3,1.3689,2.8,166,124,1000
30.7,31.4,1.3686,3.6,180,133,1143
29,33.4,1.3169,3.3,172,125,1009
27.3,37.5,1.342,2.9,160,124,1076
25.8,40.9,1.3389,1.7,103,97,830
25.2,43,1.358,1.7,87,94,853
24.6,45.8,1.394,2.8,147,120,1310
24,47.3,1.3914,1.8,120,105,1119
23.5,48.3,1.3777,1,63,81,918
24,45.8,1.3467,0.5,30,43,609
22.2,50.7,1.3405,0.4,-200,-200,516
22.8,48.1,1.3184,0.3,19,32,510
21.9,50.1,1.3002,0.4,27,36,554
20.4,54.1,1.28,0.8,65,59,760
20.8,52.6,1.2758,2.2,169,92,1170
22.8,47.9,1.3156,4.4,244,121,1545
25.2,42.9,1.3552,3.7,274,151,1508
29.3,34.8,1.397,2.5,202,142,1292
33.3,27.8,1.4013,2.5,186,141,1287
34.9,24.9,1.363,2.3,153,129,1042
36.1,22.7,1.3324,2,112,106,817
37.6,21.1,1.3478,2,117,125,847
37.3,21.9,1.3761,2.1,109,126,806
37.2,21.6,1.3514,2.4,133,147,896
35.6,23.4,1.341,3.1,185,180,1069
33.1,24.3,1.2087,2.9,167,164,945
30.5,29.5,1.2635,3.5,218,180,1168
28.7,35.8,1.3834,2.9,171,153,1065
26.6,42.2,1.4452,1.5,78,105,672
25.2,46.6,1.4733,1.7,84,98,842
24.7,47.7,1.4649,2.2,110,107,1123
24.4,47.4,1.4301,1.6,87,87,1007
23.3,49.9,1.4135,1,58,80,855
23.8,47.3,1.3783,0.6,39,62,689
22.9,50.2,1.3808,0.6,-200,-200,622
21.2,55,1.3689,0.6,38,54,658
21.7,52.6,1.35,0.5,41,56,628
22.8,48.9,1.3424,0.5,47,62,659
23.5,47.6,1.3611,0.9,72,72,799
24.6,44.9,1.3661,1.4,100,86,964
27,39.9,1.402,1.6,104,99,910
29.3,35.9,1.4411,1.6,109,98,999
31.2,32.4,1.4517,1.7,103,102,853
34.4,26.6,1.423,1.7,75,84,752
36.1,22.1,1.3004,1.5,72,83,778
-200,-200,-200,1.2,56,68,-200
-200,-200,-200,1.2,51,63,-200
-200,-200,-200,1.1,52,65,-200
-200,-200,-200,1,46,63,-200
-200,-200,-200,1.1,44,56,-200
-200,-200,-200,1.6,72,77,-200
-200,-200,-200,1.7,88,91,-200
-200,-200,-200,1.4,56,70,-200
-200,-200,-200,1.7,82,95,-200
-200,-200,-200,2.4,125,113,-200
-200,-200,-200,2.3,144,109,-200
-200,-200,-200,1.2,54,65,-200
-200,-200,-200,1,48,60,-200
-200,-200,-200,1.4,-200,-200,-200
-200,-200,-200,-200,41,62,-200
-200,-200,-200,1,40,60,-200
-200,-200,-200,0.9,48,65,-200
-200,-200,-200,0.8,44,55,-200
-200,-200,-200,1,59,66,-200
-200,-200,-200,1.2,59,67,-200
-200,-200,-200,1.2,53,64,-200
-200,-200,-200,1,42,59,-200
-200,-200,-200,1,43,59,-200
-200,-200,-200,0.6,23,36,-200
-200,-200,-200,0.7,22,35,-200
-200,-200,-200,0.8,37,54,-200
-200,-200,-200,1.1,53,71,-200
-200,-200,-200,1.4,68,86,-200
-200,-200,-200,2.8,125,114,-200
-200,-200,-200,2.5,96,105,-200
-200,-200,-200,1.6,75,87,-200
-200,-200,-200,1.4,74,85,-200
-200,-200,-200,2.3,92,91,-200
-200,-200,-200,4.2,136,108,-200
-200,-200,-200,3,119,99,-200
-200,-200,-200,2.2,76,83,-200
-200,-200,-200,0.6,21,36,-200
-200,-200,-200,0.3,-200,-200,-200
18.9,55.2,1.1895,0.3,15,24,466
18.2,57.6,1.193,0.5,52,43,609
18.6,56,1.1865,1.3,85,64,863
20.8,48,1.1702,2.5,177,91,1203
23.3,38.6,1.0919,3.7,232,109,1412
25.1,32.4,1.017,2.5,201,110,1069
27.8,25.8,0.9473,1.8,134,111,817
29.6,21,0.8548,1.5,104,106,649
30.2,18,0.7613,1.5,89,104,598
30.1,18.5,0.7747,1.2,66,76,540
29.5,19.4,0.7872,1.4,85,84,601
31.1,18.2,0.8079,1.6,105,102,668
30.3,19,0.8103,1.6,99,102,647
30.1,19.3,0.8083,2.2,132,124,816
28.6,22.3,0.859,3,186,147,963
26.1,28.3,0.9407,3,174,138,1010
24.5,35.7,1.0807,2.7,149,126,967
23.1,41.5,1.1582,2.1,114,112,904
21.8,46.3,1.1913,1.6,92,95,852
20.9,48.9,1.1945,1.3,75,80,744
20.5,49.9,1.1903,1.1,74,79,760
20,50.9,1.1794,0.7,35,49,613
22.1,44.3,1.1665,0.4,22,36,531
21,47.5,1.1666,0.2,-200,-200,493
19.8,50.3,1.1444,0.2,24,40,509
19,52.8,1.1489,0.3,30,37,560
17.8,56.5,1.1375,0.9,93,67,826
18.2,55.8,1.1529,3.1,332,106,1334
20.6,47.7,1.1448,5,387,134,1660
22.8,41.9,1.1496,2.8,267,123,1362
27.1,31.7,1.1147,2.8,269,136,1316
30.4,26.4,1.131,2.1,193,109,1089
31.1,26.2,1.1647,3.1,239,144,1129
31.4,25.3,1.1444,3,232,154,1120
30.8,26.7,1.168,2.1,152,126,916
31.8,25.6,1.1868,1.7,115,98,812
33.5,22.9,1.1649,2.2,169,120,959
33.1,23.5,1.1673,3.5,226,145,1189
31.7,25.9,1.1883,3.6,218,139,1199
29,30.4,1.2013,4.1,245,148,1283
27.4,33.6,1.2095,4,236,139,1291
25.2,36.4,1.1528,1.8,104,93,949
24,39.6,1.1662,1.7,104,96,1018
23.8,39.6,1.1558,2.4,144,104,1122
22.9,43.6,1.1974,1.2,79,83,968
22.8,43.9,1.202,0.8,51,66,806
21.8,47.3,1.2189,0.5,38,55,714
21.7,47.3,1.2135,0.3,-200,-200,644
20.8,50.3,1.2207,-200,24,37,606
21.7,46.8,1.2031,0.4,30,40,606
20.3,52.3,1.2367,1,73,51,819
20.5,52.3,1.245,3.8,305,117,1462
21.7,49.6,1.2673,3.2,295,110,1478
24,43.1,1.2677,3.5,331,136,1598
28.5,31.7,1.2144,3.2,304,152,1449
32.2,25.1,1.189,2.3,210,119,1221
34.9,20.5,1.1279,2.2,163,106,1023
35.4,19.9,1.1222,2.1,132,101,910
34.4,22.5,1.205,1.9,126,110,913
34.8,22.8,1.2488,2.4,150,124,1035
34.3,22.4,1.1907,2.5,171,137,1085
32.5,25.3,1.2165,3.6,234,159,1278
31.3,27.3,1.2234,3.9,251,152,1383
30.2,29,1.2224,4.4,294,166,1473
28.5,33.3,1.2775,4.8,300,163,1507
27.3,35.3,1.2606,2.5,159,121,1215
26.1,37.8,1.2575,2.8,176,125,1242
24.7,47.1,1.44,3.2,192,120,1356
23.6,59.8,1.7193,2.6,152,103,1195
23.3,60.5,1.706,1.5,63,64,899
23.3,59.4,1.6753,1,35,44,726
22.9,57.7,1.5902,0.8,-200,-200,743
23.7,53.5,1.546,0.6,21,35,684
21.2,60.9,1.5092,0.6,41,46,779
22.1,56.2,1.48,0.7,48,54,801
21.9,57,1.4742,1.2,102,68,983
24.7,45.9,1.4061,1.5,111,77,989
27,40.8,1.4286,1.3,93,74,875
29.1,37.4,1.4833,1.6,118,92,807
31.1,32.4,1.4351,1.5,93,83,727
31.9,30.3,1.4125,1.2,56,58,549
32.8,28.9,1.412,1.1,51,55,570
33.4,27.8,1.4119,1.2,52,61,596
35.3,23.7,1.3331,1.3,59,65,585
35.8,22.4,1.2915,1.4,62,74,637
35.3,20.8,1.1664,1.6,85,89,664
33.3,23.9,1.2085,2.1,109,103,797
30.3,30.8,1.3044,3,168,128,1046
28.3,34.5,1.3084,2.8,166,122,1058
27.1,38.9,1.3758,3.8,149,125,1214
25.4,43.2,1.3805,3.2,118,119,1056
24.6,45.3,1.3767,4.1,160,126,1280
23.7,46,1.3346,2.6,124,100,1045
23,48.1,1.3322,2,95,94,1039
24.8,43.4,1.3366,0.9,34,52,640
23.1,47.4,1.3208,0.7,-200,-200,705
21.7,50.2,1.2917,0.6,45,64,662
21.9,50.7,1.3138,0.6,35,46,579
20.1,57,1.3216,1.6,141,88,987
21.5,51.8,1.3129,2.6,199,104,1197
22.9,48.7,1.3416,2.9,224,125,1328
25.7,41,1.3351,2.8,245,151,1370
29.9,33.2,1.3793,1.9,153,113,921
32.9,28,1.3789,1.9,145,102,876
34,25.6,1.3363,2.1,130,108,819
34.7,22.6,1.2297,1.9,95,93,763
35.5,20.3,1.1586,1.6,88,89,675
35.9,18.8,1.0912,1.6,89,84,637
36.2,18.6,1.0945,2.1,127,111,826
35.4,15.3,0.8613,2.4,149,115,854
32.9,15.5,0.7649,2.8,170,127,894
29.9,19.8,0.8211,3.4,210,129,1077
28.1,22.4,0.8394,3.4,230,140,1121
26.1,24.7,0.8233,2.7,203,137,1071
25,28.7,0.8944,2.6,174,130,1167
24.3,31,0.9268,2.3,164,121,1162
24,31.2,0.919,1.2,76,79,848
22.4,34.9,0.9362,1,52,69,759
21.2,37.6,0.9355,0.9,47,61,694
19.5,42.3,0.9461,1.1,-200,-200,848
21.2,39.4,0.9802,-200,37,58,689
19.5,42.4,0.9515,0.4,41,58,610
18.6,45.8,0.9723,0.9,74,70,816
19.7,44.1,1.0039,1.8,168,104,1158
21.9,39.4,1.0243,2.2,176,109,1228
24.5,34.3,1.0407,2.4,184,129,1323
30,25.6,1.0674,2.3,187,144,1274
34.5,18.9,1.0168,1.6,118,101,846
36.3,17.5,1.0411,1.4,89,90,737
37.7,16,1.0231,1.4,70,86,675
38.3,15.8,1.0465,1,51,69,559
38.4,17.5,1.1609,1,52,65,604
37.2,20.5,1.2813,1.2,70,73,729
34,26.4,1.3781,1.3,80,73,741
32.3,30.4,1.445,1.5,90,78,747
30.5,33.9,1.4564,1.9,111,98,932
29.2,37.8,1.5098,1.8,107,99,928
28.4,39.1,1.4881,1.4,73,83,860
27.7,40.6,1.4828,1.7,75,88,963
27.2,42.5,1.5069,2.7,144,117,1309
26.5,44.8,1.528,2.1,120,97,1266
25.5,47.6,1.5318,1.4,71,75,1181
25.2,47.8,1.5076,1,40,53,937
23.2,53.7,1.5046,1,-200,-200,995
23.2,52.3,1.4668,0.8,34,45,789
24,50.3,1.4811,0.5,27,42,682
23.5,51.2,1.4634,0.6,30,44,717
23.5,50.8,1.452,0.6,40,50,696
24.7,47.6,1.4597,1,56,60,807
27.2,41.1,1.4611,1.6,104,100,1025
31,32.4,1.4294,1.9,121,111,1090
35.2,24.8,1.3854,1.7,100,110,932
37.8,18.5,1.1977,1.1,59,74,639
39,15.1,1.0424,0.8,42,56,467
41.3,12.8,0.9933,0.7,38,50,476
41.8,11.9,0.9476,0.7,40,54,490
42.2,14.2,1.1609,1.2,70,90,669
41.4,15.5,1.2089,1.6,95,109,800
38.9,21.4,1.4605,1.6,90,110,791
34.3,26,1.3865,1.7,90,103,849
32.7,27.7,1.3439,2,111,120,934
30.5,30.4,1.3031,2.3,135,134,1081
29,33.6,1.3277,2.4,146,137,1102
28.2,36.6,1.3781,1.7,100,99,914
27.2,38.9,1.3821,1.2,69,78,926
26.7,40,1.3754,1,47,63,786
26,41.2,1.3598,0.6,26,41,619
22.8,50.1,1.3677,0.5,-200,-200,633
24,46.6,1.37,0.4,24,39,634
24,46.4,1.3689,0.5,55,60,722
23.7,47.1,1.3602,0.7,47,54,717
23.6,47.3,1.3634,3.2,209,119,1445
25.5,43.1,1.3891,5.6,348,159,1786
28.5,36.8,1.4128,4.6,337,182,1791
32.6,28,1.3566,3.3,280,183,1413
36.3,23.4,1.3902,2.1,169,144,1092
37.5,21.5,1.3673,1.9,126,118,940
39.6,19,1.3447,1.9,108,106,883
40.1,19.3,1.4013,1.6,93,97,850
40.4,20,1.4854,2,112,129,928
39.9,20.1,1.4495,1.8,110,130,835
39.1,19.6,1.3542,2.9,188,163,1157
37,21.9,1.3503,3.4,203,160,1232
33.9,26.8,1.3899,3.1,167,140,1288
31.9,30.6,1.4201,2.5,116,115,1143
29.7,33.9,1.3874,1.8,89,92,1014
28.6,36.8,1.416,1.8,103,99,1088
27.8,38.7,1.4187,2,100,96,1092
27.8,40,1.4691,1.5,86,80,1090
27.5,41.3,1.4962,0.8,52,65,979
27.3,41.6,1.4906,0.4,27,46,806
26,44.2,1.4657,0.3,-200,-200,712
24.8,48,1.4857,-200,35,57,853
25.9,45.1,1.4889,0.5,42,54,816
25.3,47.6,1.5108,0.7,57,62,934
24.7,49.5,1.5201,3.4,228,102,1548
27.1,43.1,1.5224,5.7,350,140,1858
28.3,39.8,1.5053,3.2,232,121,1410
32.4,32.3,1.5484,2.7,206,132,1334
35.4,27.8,1.5733,2.1,159,122,1140
35.5,27.4,1.5635,2.8,184,148,1111
37.8,24.4,1.5722,2.5,136,133,1054
37.2,25.5,1.5914,2.1,124,130,924
37.2,25.6,1.6014,2.5,133,141,1041
38,25,1.6312,2.7,156,172,1282
37.1,26.9,1.6635,3.7,200,198,1362
36.9,27.8,1.7099,3.7,202,181,1441
34.7,31.9,1.7325,4.6,286,202,1559
31.9,38.4,1.7897,2.6,141,120,1198
30.5,42.3,1.8173,2.5,117,115,1246
29.3,45.8,1.8362,2.3,110,112,1192
28.2,48.1,1.8144,2.2,100,97,1194
27.3,51,1.8287,2.5,112,100,1252
26.8,52.4,1.8141,0.9,35,47,777
26,54.9,1.8141,0.8,33,44,798
26.8,51.9,1.8058,0.7,-200,-200,800
26.9,51.8,1.805,0.5,28,42,728
24.6,59.1,1.8013,0.7,49,57,953
26.4,53.1,1.7987,0.9,81,61,1060
27.3,46.4,1.6542,2.2,178,106,1338
28.4,40.4,1.5442,2.8,223,136,1622
30.8,37.1,1.6169,2.9,290,157,1812
34.2,30.7,1.6252,2.9,274,171,1784
37,26.5,1.6352,3,278,190,1509
36.6,27.8,1.676,2.5,152,155,1139
36.9,26.9,1.6477,2.3,118,139,1044
39.3,22.2,1.552,2.1,141,152,1015
38.5,22.4,1.5018,1.9,131,143,825
39.7,20.4,1.4594,2.3,171,168,1022
38.8,24.2,1.6433,4.2,287,226,1913
33.5,38,1.939,4.9,267,207,2043
34,32.9,1.7251,4.9,280,197,1661
31.9,33.7,1.5663,3.5,224,158,1404
30.2,37.6,1.587,2.5,137,124,1233
28.9,41,1.6096,2.5,118,110,1181
27.8,45.2,1.6604,2.6,128,112,1272
27.1,47.4,1.6701,2.3,111,102,1190
26.2,49.4,1.6555,1.5,66,77,982
26.9,49.3,1.7196,0.9,36,50,805
26.3,50.8,1.7058,0.6,-200,-200,654
24.9,54.6,1.6908,0.6,31,40,727
23.4,58.6,1.6651,0.8,75,66,1001
24.4,55.2,1.6604,0.9,66,60,994
25.1,54.3,1.7057,2.4,154,85,1322
26.6,51.2,1.7565,3.9,239,120,1617
28.2,47.1,1.7752,2.9,246,134,1430
31.6,39.4,1.7969,2.7,261,149,1357
34.2,31.8,1.6837,2,179,125,994
36.6,27.1,1.6352,2.4,159,132,1054
37.6,26.9,1.715,2,111,114,945
38.1,26.3,1.7213,1.8,101,110,808
37.8,26.9,1.7392,1.9,118,121,888
37.8,22.7,1.4653,1.8,120,127,787
36.9,24.7,1.5134,2.9,177,157,1077
34.5,28.5,1.531,3.3,186,169,1106
32.5,30.9,1.4875,4.4,235,179,1356
30.9,30.4,1.338,3.4,195,149,1152
28.7,34.7,1.3457,1.9,106,111,925
27.7,39.3,1.4372,2.1,107,112,1059
26.8,45.1,1.5645,2.5,134,120,1201
26.1,45.3,1.5115,2.3,117,105,1205
25.9,46.1,1.5174,1.7,83,90,1103
25.3,47.6,1.513,1.5,77,87,1072
26.6,43,1.4773,0.8,-200,-200,713
25.3,47.2,1.5025,-200,37,54,737
25.1,48,1.5115,0.5,50,61,740
24.8,50.6,1.5654,0.8,60,63,770
25.7,49.7,1.615,2.6,179,102,1327
27.4,45.5,1.6396,4.9,300,149,1763
29.3,40,1.6082,2.9,263,147,1477
33.6,28.7,1.4693,2.8,265,158,1311
34.6,27.7,1.4991,1.8,164,112,980
35.6,27.2,1.5557,1.8,122,108,961
36.9,23.3,1.4313,1.9,125,120,923
38.8,20.7,1.4036,1.7,125,117,839
38.1,22.6,1.4868,1.7,115,119,827
37.1,23,1.4229,1.9,162,149,821
34.8,19.3,1.0543,2.1,149,174,749
33.6,20.7,1.059,2.4,161,163,871
31.4,18.5,0.8376,3,201,161,1077
29.5,23.8,0.9623,2.8,209,154,1175
27.4,27.1,0.9736,1.9,133,124,1125
26.1,31.1,1.0338,2.1,133,122,1124
25.5,34,1.0935,1.8,134,119,1064
24,37.8,1.1125,2.5,164,131,1240
24.2,37.3,1.1118,1.1,72,84,899
23.4,40.6,1.1571,0.7,50,77,807
21.8,46.6,1.1991,0.7,-200,-200,817
22.6,43,1.1629,0.4,27,41,573
20.2,50.7,1.1844,0.7,74,68,768
20.5,49.3,1.176,0.7,69,69,807
21.4,48,1.2086,1.8,162,101,1204
23.2,43.9,1.2344,2.3,208,120,1401
25.3,40.7,1.2921,1.9,168,124,1256
29.9,31.1,1.2883,1.7,139,113,999
33.9,21.3,1.1067,1.3,104,97,712
36.3,16,0.9465,1.5,99,94,712
36.6,15.2,0.9177,1.3,89,86,614
37.4,15.8,0.9998,0.8,57,70,554
37.9,15,0.9721,0.8,64,70,722
38,16.8,1.0933,1.1,65,82,636
36.9,17.5,1.0789,1.2,79,93,664
35.3,17,0.9561,1.2,80,89,624
31.9,20.4,0.9462,1.4,81,90,659
29.1,29.6,1.1792,1.1,59,67,695
27.4,33.4,1.2022,1.5,90,94,920
26.7,35.8,1.2318,2,122,109,1150
25.2,42.7,1.3473,1.9,120,103,1141
24,51.9,1.5252,2.2,126,101,1227
24.5,44.4,1.3476,1.1,68,71,887
22.6,51,1.3805,1.1,65,71,987
22.2,52.7,1.3891,0.8,-200,-200,903
